addr,x,log1pexp,signed_raw,twos_complement
709,3.088954056695993,3.133496709870128,401,401
710,3.104594330400783,3.1484606840983522,403,403
711,3.1202346041055726,3.1634347064590473,405,405
712,3.1358748778103624,3.178418634210143,407,407
713,3.1515151515151523,3.1934123264438843,409,409
714,3.167155425219942,3.208415644068997,411,411
715,3.182795698924732,3.2234284497928427,413,413
716,3.1984359726295217,3.238450608103585,415,415
717,3.2140762463343115,3.2534819852523555,416,416
718,3.2297165200391014,3.2685224492354448,418,418
719,3.245356793743891,3.2835718697765093,420,420
720,3.260997067448681,3.2986301183088087,422,422
721,3.276637341153471,3.3136970679574764,424,424
722,3.2922776148582606,3.328772593521828,426,426
723,3.3079178885630505,3.3438565714577138,428,428
724,3.3235581622678403,3.358948879859923,430,430
725,3.33919843597263,3.3740493984446367,432,432
726,3.35483870967742,3.3891580085319455,434,434
727,3.3704789833822097,3.404274593028425,436,436
728,3.3861192570869996,3.4193990364097817,438,438
729,3.4017595307917894,3.434531224703568,440,440
730,3.417399804496579,3.4496710454719755,442,442
731,3.433040078201369,3.464818387794703,443,443
732,3.448680351906159,3.479973142251912,445,445
733,3.4643206256109487,3.495135200907261,447,447
734,3.4799608993157385,3.510304457291039,449,449
735,3.4956011730205283,3.5254808063833822,451,451
736,3.511241446725318,3.540664144597591,453,453
737,3.526881720430108,3.555854369763541,455,455
738,3.5425219941348978,3.5710513811112015,457,457
739,3.5581622678396876,3.5862550792542476,459,459
740,3.5738025415444774,3.601465366173788,461,461
741,3.5894428152492672,3.6166821452021924,463,463
742,3.605083088954057,3.6319053210070344,465,465
743,3.620723362658847,3.6471347995751424,467,467
744,3.6363636363636367,3.6623704881967676,469,469
745,3.6520039100684265,3.677612295449866,471,471
746,3.6676441837732163,3.692860131184497,473,473
747,3.683284457478006,3.7081139065073434,475,475
748,3.698924731182796,3.723373533766349,477,477
749,3.714565004887586,3.738638926535479,479,479
750,3.7302052785923756,3.753909999599603,481,481
751,3.7458455522971654,3.7691866689395037,482,482
752,3.7614858260019552,3.7844688517170075,484,484
753,3.777126099706745,3.7997564662602437,486,486
754,3.792766373411535,3.81504943204903,488,488
755,3.8084066471163247,3.8303476697003855,490,490
756,3.8240469208211145,3.845651100954171,492,492
757,3.8396871945259043,3.860959648658861,494,494
758,3.855327468230694,3.876273236757444,496,496
759,3.870967741935484,3.891591790273451,498,498
760,3.886608015640274,3.9069152352971193,500,500
761,3.9022482893450636,3.9222434989716795,502,502
762,3.9178885630498534,3.937576509479783,504,504
763,3.9335288367546433,3.9529141960300542,506,506
764,3.949169110459433,3.9682564888437755,508,508
765,3.964809384164223,3.9836033191417055,510,510
766,3.9804496578690127,3.998954619131027,512,512
767,3.9960899315738025,4.014310321992429,514,514
768,4.011730205278592,4.029670361867317,516,516
769,4.027370478983382,4.045034673845159,518,518
770,4.043010752688172,4.060403193950955,520,520
771,4.058651026392962,4.0757758591328495,522,522
772,4.074291300097752,4.091152607249865,524,524
773,4.0899315738025415,4.106533377059767,526,526
774,4.105571847507331,4.121918108207065,528,528
775,4.121212121212121,4.137306741211136,530,530
776,4.136852394916911,4.152699217454482,532,532
777,4.152492668621701,4.168095479171119,534,534
778,4.168132942326491,4.183495469435083,535,535
779,4.18377321603128,4.198899132149078,537,537
780,4.19941348973607,4.21430641203324,539,539
781,4.21505376344086,4.2297172546140365,541,541
782,4.23069403714565,4.245131606213286,543,543
783,4.24633431085044,4.2605494139373015,545,545
784,4.2619745845552295,4.2759706256661705,547,547
785,4.277614858260019,4.291395190043143,549,549
786,4.293255131964809,4.306823056464154,551,551
787,4.308895405669599,4.322254175067467,553,553
788,4.324535679374389,4.337688496723433,555,555
789,4.340175953079179,4.353125973024381,557,557
790,4.355816226783968,4.368566556274618,559,559
791,4.371456500488758,4.384010199480558,561,561
792,4.387096774193548,4.399456856340962,563,563
793,4.402737047898338,4.414906481237302,565,565
794,4.418377321603128,4.430359029224236,567,567
795,4.4340175953079175,4.445814456020204,569,569
796,4.449657869012707,4.461272717998139,571,571
797,4.465298142717497,4.476733772176289,573,573
798,4.480938416422287,4.492197576209152,575,575
799,4.496578690127077,4.50766408837853,577,577
800,4.512218963831867,4.523133267584686,579,579
801,4.527859237536656,4.538605073337618,581,581
802,4.543499511241446,4.554079465748441,583,583
803,4.559139784946236,4.569556405520877,585,585
804,4.574780058651026,4.5850358539428475,587,587
805,4.590420332355816,4.600517772878188,589,589
806,4.6060606060606055,4.61600212475845,591,591
807,4.621700879765395,4.63148887257482,593,593
808,4.637341153470185,4.6469779798701385,595,595
809,4.652981427174975,4.662469410731022,597,597
810,4.668621700879765,4.677963129780087,599,599
811,4.684261974584555,4.693459102168273,601,601
812,4.699902248289344,4.70895729356727,603,603
813,4.715542521994134,4.7244576701620415,605,605
814,4.731182795698924,4.7399601986434465,607,607
815,4.746823069403714,4.755464846200956,609,609
816,4.762463343108504,4.7709715805154715,611,611
817,4.7781036168132935,4.786480369752232,613,613
818,4.793743890518083,4.801991182553817,615,615
819,4.809384164222873,4.817503988033245,617,617
820,4.825024437927663,4.833018755767164,619,619
821,4.840664711632453,4.848535455789127,621,621
822,4.856304985337243,4.864054058582964,623,623
